"","term","estimate","std.error","robust.se","statistic","p.value"
"54","avcost:layofftemp",0.0013281530005545,0.000502423019191901,0.000419880196561682,3.16317133180009,0.00156060456953068
"55","unempl:reject",-1.30721625084977,303.463657213717,0.157261841687999,-8.31235496684078,9.38212831291683e-17
"56","unempl:rulesjudgmentgood",0.0549476551155154,0.0234628146389734,0.018585425963803,2.9564915661622,0.00311160741159017
"57","unempl:rulesjudgmentinsuff",0.0644697793663755,0.0343021758289483,0.0292244115502892,2.20602489310816,0.0273822568015095
"58","unempl:tasknum3",0.0802080827058959,0.0285844281022677,0.023134596958723,3.4670188051689,0.000526265070778426
"59","unempl:tasknum5",-0.0423445471950478,0.034076965593813,0.0268723641079442,-1.57576560904552,0.115079830854679
"60","unempl:tasknumMISSING",0.0547784796460604,0.0854968006791204,0.0615136012936006,0.890510041585862,0.373192078956951
"61","mabsdeaths:ffcomcanc",0.0798493248990154,0.0436905969692372,0.0317971333767054,2.51121143384306,0.0120317609525247
"62","mabsdeaths:wronguneven",-0.0368913912261252,0.0226825279314417,0.0197822499030019,-1.86487337926749,0.0621991546518268
"63","mabsdeaths:wrongsamecost",0.00224515870453398,0.0204232806440133,0.0175327624866308,0.128055045874601,0.898105411266398
"64","mabsdeaths:gendermale",0.057287353816959,0.0251557661525118,0.021979457001759,2.60640441719622,0.00914983574119975
"65","mabsdeaths:income40",-0.00505414959148572,0.0386185976581388,0.0314890313856115,-0.160505082852283,0.872483217999325
"66","mabsdeaths:income225",0.0254054015672156,0.0383930876333335,0.0335291620961067,0.757710601129684,0.448624251200761
"67","mabsdeaths:tasknum5",-0.101636737288704,0.0317353777882909,0.0254168956572553,-3.99878642377366,6.3668099627288e-05
"68","statquo:y2020m4cases",0.000174167541307382,0.00315295424139414,0.00248494346352104,0.0700891363784171,0.94412271335229
"69","statquo:y2020m8deaths",-0.0731597473436403,0.0353248086990595,0.0274186369550663,-2.66824887989635,0.00762477536011604
"70","statquo:y2020m10deaths",-0.0703214360082946,0.0553699357456773,0.047835249489107,-1.47007566092674,0.141541263410837
"71","statquo:y2020m12deaths",-0.00427597283982435,0.0219776612965122,0.0214801460586366,-0.19906628326231,0.84221089542126
"72","statquo:demeanrp",-0.0157915809248487,0.0968506539268545,0.0820708171877781,-0.192414081715764,0.84741786287754
"73","statquo:ffcomheart",-0.521483473447777,0.423008926758516,0.344489796056101,-1.513784963787,0.130080387426163
"74","statquo:ffcomdiab",0.140428121508949,0.202849234079642,0.178415522961628,0.787084661569223,0.431232307718591
"75","statquo:ffcomresp",0.485774497196574,0.318522839649255,0.254937179980049,1.90546744588055,0.0567193352326432
"76","statquo:ffcomcanc",-1.19269678701339,0.527575038575416,0.404206803069764,-2.95070933481429,0.00317045121480335
"77","statquo:ffcomage",0.0297601209598635,0.250015840276039,0.225442478757865,0.132007601778665,0.894978279021741
"78","statquo:ffcomother",-1.13831434668863,0.90176414393808,0.640985661734809,-1.77588113844514,0.0757525104053952
"79","statquo:ffcompreg",-0.383483161102536,0.505690366684917,0.387140086359295,-0.990553999997395,0.321903408771637
"80","statquo:larule2",0.0169696880434663,0.14725720156757,0.126358137315387,0.134298339655881,0.893166666112466
"81","statquo:larule4",0.227896068212026,0.234421931994802,0.194455562198471,1.17196991248532,0.241209136072018
"82","statquo:larule6",-0.192895204372039,0.205003425060111,0.17250150286226,-1.11822332658784,0.263471624037919
"83","statquo:larule10",-0.0427082864558098,0.236625587069608,0.196775087160967,-0.217041125845739,0.828176294962524
"84","statquo:lirule3",0.189332366711692,0.185983249804158,0.165250765705641,1.14572762131067,0.251907871291311
"85","statquo:owncomdiab",0.156084284345654,0.265588971109061,0.217271276389964,0.718384348539055,0.472520334614384
"86","statquo:owncomcanc",0.195613538246872,0.398924665403728,0.320448750690436,0.610436264224482,0.541572851794327
"87","statquo:owncompreg",-0.685926308096039,0.781197083723883,0.518434356249415,-1.32307263171819,0.185811225091617
"88","statquo:owncomcovid",-0.0660397807397575,0.46643252148988,0.343446737417163,-0.192285363478481,0.847518682726163
"89","statquo:owncomnovax",-0.0243603320440735,0.132545906491908,0.123310574714342,-0.197552660025355,0.843395076548305
"90","statquo:R0subjrange",-0.0470718382538398,0.068033142516667,0.0547863219795613,-0.859189603408686,0.390235918335677
"91","statquo:pvotedem",-0.83453779382489,0.616718663423829,0.480908932260816,-1.73533435925513,0.0826815992560552
"92","statquo:vulnchild",-0.303522966338045,0.188070523656432,0.154482683060917,-1.96477016273958,0.0494408450536901
"93","statquo:vulnteens",-0.247903600709735,0.325506599447602,0.273456663779569,-0.906555346954601,0.36464198402614
"94","statquo:vulnseniors",-0.128306545019571,0.227555663960651,0.202890071569046,-0.632394399722544,0.527129192480395
"95","statquo:vulnwomen",0.20045039445902,0.286029917705101,0.236924655746806,0.846051221757332,0.397524170381556
"96","statquo:vulnmen",-0.0961844596211792,0.223418172624687,0.223414293396652,-0.430520617812095,0.666816972037402
"97","statquo:vulnlowinc",-0.0514014481623475,0.242268118659816,0.199276498516068,-0.257940341912435,0.796452949686964
